id,source,target,relation,source_text
E259,E711,P281,HAS_SUBJECT,遣唐大使佐伯宿祢今毛人等辞見。
E260,E711,L193,AT_LOCATION,遣唐大使佐伯宿祢今毛人等辞見。
E261,P281,L193,PARTICIPATE,遣唐大使佐伯宿祢今毛人等辞見。
E262,E714,P272,HAS_SUBJECT,遣唐使等去年從筑紫而入海。風浪暴險不得渡海。至是乃發。
E263,E714,P218,AT_LOCATION,遣唐使等去年從筑紫而入海。風浪暴險不得渡海。至是乃發。
E264,P272,P218,PARTICIPATE,遣唐使等去年從筑紫而入海。風浪暴險不得渡海。至是乃發。
E265,E715,L107,HAS_OBJECT,造東海。南海。西海等道節度使料綿襖冑各二万二百五十具於大宰府。其製一如唐國新樣。
E266,E715,L209,AT_LOCATION,造東海。南海。西海等道節度使料綿襖冑各二万二百五十具於大宰府。其製一如唐國新樣。
E267,E716,G048,HAS_SUBJECT,柁折棚落。潮溢人溺。船頭已下百・餘人任波漂蕩。
E268,E716,L247,AT_LOCATION,柁折棚落。潮溢人溺。船頭已下百・餘人任波漂蕩。
E269,G048,L247,TRAVEL,柁折棚落。潮溢人溺。船頭已下百・餘人任波漂蕩。
E270,E717,P204,HAS_SUBJECT,眞言請益僧眞濟等。僅作書答云。柁折棚落。潮溢人溺。
E271,E717,L247,AT_LOCATION,眞言請益僧眞濟等。僅作書答云。柁折棚落。潮溢人溺。
